# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,0.5673034204621545,0.1904359872817137,2
0,1,0,0.04605989794983056,0.001064822720169523,2
0,2,0,0.682902162017202,0.1019628459140556,5
0,3,0,1.567880499102464,1.235625082036361,2
0,4,0,1.375751495448051,1.640497748850398,3
0,5,0,2.616683636326176,1.281624367260967,9
0,6,0,2.64804028806964,2.038821472710969,7
0,7,0,4.63275411583312,2.840452626718449,12
0,8,0,5.332892647614705,8.246905432948655,12
0,9,0,4.363935814879859,1.884839208337889,17
0,10,0,6.026388185211818,3.211309928153157,19
0,11,0,8.092225625604764,3.465649962724563,26
0,12,0,12.7680471775049,11.28605203738646,37
0,13,0,14.07704347021717,7.531044441317974,45
0,14,0,12.63046089130382,12.55523952572517,32
0,15,0,19.06230746970648,10.12966637473225,60
0,16,0,19.93253921396669,15.13166727520168,60
0,17,0,28.51405455933851,13.02822850748999,101
0,18,0,28.20834457621212,11.17971570746672,106
0,19,0,34.36613740076482,15.97967970868807,120
0,20,0,52.60360406320642,84.70418398855807,166
0,21,0,44.15168323839732,15.38047050129921,183
0,22,0,48.64068571460593,17.43988389723667,196
0,23,0,51.85622446416779,15.71607269522976,227
0,24,0,68.67321375824373,26.79521742156181,293
0,25,0,67.04200509248309,21.18903732044073,312
0,26,0,82.84211781327198,31.27069244787309,367
0,27,0,78.04144984565842,20.43511882594261,398
0,28,0,86.36100313045303,20.97118730433124,460
0,29,0,89.70525423507588,22.06982157063206,479
1,0,0,0.2424453558382035,0.05791253232930391,2
1,1,0,0.02167345381720621,0.0004697386003665703,1
1,2,0,1.390541255947968,0.6475336106029811,3
1,3,0,1.978766275232222,0.8965417113985158,5
1,4,0,1.599525818881467,1.201411578186614,5
1,5,0,0.9586480539147602,0.308733407656917,4
1,6,0,3.419943366926434,1.855702381919976,9
1,7,0,2.462848262079747,1.272694969442783,8
1,8,0,3.620504924835491,2.403411403663201,8
1,9,0,6.131555448229614,3.250909588492001,17
1,10,0,10.20313122374381,6.809621971620482,23
1,11,0,6.763924975994697,2.063669675082724,31
1,12,0,7.17473725405856,3.490084815748244,24
1,13,0,13.7013815920618,8.639195165277613,39
1,14,0,16.12702298109749,9.261860981697764,45
1,15,0,21.56443281352107,9.032137915712386,74
1,16,0,25.50653805215101,12.39167446292501,85
1,17,0,25.66028198709902,9.030838594099151,96
1,18,0,33.78159480908719,12.00020975032853,130
1,19,0,37.66431220386814,14.42849332653237,134
1,20,0,51.35049681131364,86.18732234246784,165
1,21,0,52.25655611262275,17.6957055393056,215
1,22,0,55.93215773487221,20.61331644751586,231
1,23,0,70.46002857108481,27.19482101480081,292
1,24,0,67.50839257976514,18.03660103040425,315
1,25,0,85.04527082116324,22.34822464806072,402
1,26,0,91.83870637247099,32.20547287788526,426
1,27,0,90.03521788279407,30.0977562221405,459
1,28,0,94.27495734070948,30.92347244863473,502
1,29,0,108.2259039833143,42.6942688230339,541
2,0,0,0.07412697426692788,0.005494808313969788,1
2,1,0,0.06149056012276567,0.00378108898421146,1
2,2,0,2.075788375223994,1.240835967267523,5
2,3,0,1.269226442592494,0.7212492677761718,4
2,4,0,0.727546470630706,0.4386171696639882,3
2,5,0,1.778934491271185,0.7932088760818181,5
2,6,0,3.197722176657952,1.362438923270311,11
2,7,0,3.919347171494152,2.109656460991214,10
2,8,0,5.192555407796247,2.172534798709033,16
2,9,0,8.540999437196337,4.3976938230658,24
2,10,0,4.309412376730773,2.852881315022168,10
2,11,0,8.289683125919149,3.296813124321314,28
2,12,0,11.13687959248653,9.225969923255063,32
2,13,0,13.20486320000553,4.812595684282359,47
2,14,0,9.903232650929464,3.239362031971273,38
2,15,0,19.3799254229718,9.465049467144329,57
2,16,0,27.9712979086755,16.4464451773546,88
2,17,0,25.1123746296106,9.952897673183136,96
2,18,0,34.37295980157889,17.16562229500486,130
2,19,0,35.3501134456254,15.4555793137807,140
2,20,0,38.21084287574852,13.01793732358017,151
2,21,0,50.15766305814984,19.13113478050404,208
2,22,0,59.79119207753786,19.02045705095633,251
2,23,0,67.87640795521116,21.97126627058903,287
2,24,0,76.92621388282585,28.89948343635893,351
2,25,0,82.97678925553454,22.14497482102832,396
2,26,0,96.37278054010744,24.38257457958191,477
2,27,0,108.3525252177973,27.71819482489394,550
2,28,0,116.5837650425936,31.43330293892907,624
2,29,0,116.9733618748453,35.14889098447516,621
3,0,0,0.2176920881273619,0.02719791484193349,3
3,1,0,0.07621823320114952,0.002710973141581151,3
3,2,0,1.767033069691114,0.9789113720889978,6
3,3,0,0.4786632357959963,0.1263981787212582,2
3,4,0,1.889173403676908,0.7162673367670531,7
3,5,0,5.51997466227961,10.58227201264163,6
3,6,0,4.012594623485658,5.522748832733382,7
3,7,0,3.759210855844966,1.339636564516127,15
3,8,0,5.103861650459702,4.081935752659509,13
3,9,0,5.88978816605387,2.935874844444959,15
3,10,0,8.481976009146711,5.520177556692305,23
3,11,0,8.1195473838168,2.79544873633371,29
3,12,0,10.16256928357133,4.615510562967262,32
3,13,0,17.0960845748284,8.080127084557486,49
3,14,0,19.9738756809871,10.06295606001238,59
3,15,0,23.16266421011666,9.70209071684622,73
3,16,0,28.80274150425802,16.81498058147262,93
3,17,0,32.33007069572863,11.16831560615719,123
3,18,0,32.68499863553706,13.90619546696737,120
3,19,0,41.18171298947524,13.2568272339848,161
3,20,0,49.93404836635036,26.73130986446672,178
3,21,0,60.45392958787581,23.11250157393188,238
3,22,0,63.98898850429569,22.68819978726323,269
3,23,0,72.58777496719235,23.96335264895675,324
3,24,0,83.85947458743955,40.19721175362461,374
3,25,0,103.1643587358084,29.47266561058728,488
3,26,0,102.7978302126031,31.61445337536348,500
3,27,0,107.1410536820972,27.16032535234041,555
3,28,0,121.638909184097,51.29418354328995,644
3,29,0,121.5623080425565,29.0643588211943,682
4,0,0,0.474453325788296,0.1215615811371222,3
4,1,0,0.2297716893788673,0.01999582361077051,5
4,2,0,0.2165478086243256,0.02069850568114106,4
4,3,0,2.898441171015113,1.492964101891197,7
4,4,0,0.4576722419800201,0.1110089774446133,2
4,5,0,0.6592946620336165,0.1924079161679824,3
4,6,0,0.8953111682143269,0.1747103821286275,9
4,7,0,1.963392590150045,0.973097988904821,10
4,8,0,7.508193089799289,6.371609194397432,16
4,9,0,8.473295732064416,4.362229097713615,24
4,10,0,9.921377177032751,6.480335333311224,24
4,11,0,16.2098463613897,15.17279128371251,36
4,12,0,14.76678437106933,9.174347649428906,41
4,13,0,16.74296673557572,10.05167402279614,49
4,14,0,19.00905262133501,8.316091313845591,64
4,15,0,25.42792589216355,13.04914653738991,82
4,16,0,33.55016177587003,15.11964077646145,110
4,17,0,29.69765534299558,12.74033855077512,109
4,18,0,39.23735716217256,17.27750233763225,146
4,19,0,41.83535482578475,13.78963414261174,164
4,20,0,56.82120734297194,67.20726244291428,209
4,21,0,57.11683159926746,15.83785959751361,254
4,22,0,68.78424167317914,25.27421934563395,272
