# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,6.984097127653706,3.009533633657568,20
0,1,0,12.07282803276057,8.116635618401968,27
0,2,0,9.015721350585675,5.23122240562879,26
0,3,0,10.10474793208624,3.790367120271834,31
0,4,0,9.571998157593885,3.272006740653445,33
0,5,0,9.31655037459311,3.676355949591653,29
0,6,0,12.44569572335467,6.612344216120334,35
0,7,0,16.59941083900993,14.16840544971574,46
0,8,0,10.45185242763015,3.395295771927347,38
0,9,0,14.35365593282475,6.212527359444501,46
0,10,0,12.08077368435534,14.10444279761329,37
0,11,0,12.27914278435359,3.649383853584394,50
0,12,0,10.22713787986183,3.022398151101596,45
0,13,0,11.69032516484882,3.107780505450966,49
0,14,0,11.61815147107771,2.906483754564008,55
0,15,0,12.18066872094958,3.12519498833943,55
0,16,0,11.08720495884113,2.687842925448179,54
0,17,0,12.3208026336,3.066374412910569,60
0,18,0,10.81802693960621,2.255095804122613,55
0,19,0,11.68209075944607,2.561690640888775,62
0,20,0,10.57100403445422,2.014061657061165,60
0,21,0,13.42888722180253,2.56072913159941,79
0,22,0,12.16057859528308,2.341466881074966,71
0,23,0,11.72614265852256,2.129961264380191,71
0,24,0,11.34299274883158,2.19366272661915,64
0,25,0,11.49316077074675,2.009864064557579,71
0,26,0,10.46877161109979,1.726306867871299,67
0,27,0,10.65677576656155,1.818573108592692,67
0,28,0,10.19580033353716,1.652565105367318,69
0,29,0,9.595173555571785,1.735441181941507,60
1,0,0,10.94409471637449,11.54560941817823,20
1,1,0,6.043465580904768,2.599944076181334,17
1,2,0,12.20352506017279,14.06029155877032,27
1,3,0,8.136441790213233,3.874304042034376,21
1,4,0,8.116563986460548,2.97059298933127,26
1,5,0,10.58086553315289,3.705562434924951,36
1,6,0,8.151994406702611,2.967112588896486,28
1,7,0,13.544967085132,5.59551574950698,42
1,8,0,12.56126337173423,3.991241400450337,46
1,9,0,15.44105270836538,6.652710519708918,52
1,10,0,13.65184605331375,5.404354694065507,50
1,11,0,17.65433070389011,7.135316199456871,66
1,12,0,15.98284862073183,5.183814344556265,65
1,13,0,17.63219720666333,4.942201990831528,75
1,14,0,16.07015557711498,4.815346071011319,72
1,15,0,16.50112916032125,5.22453317292825,73
1,16,0,13.21999204007036,3.899217971246904,59
1,17,0,13.73435285094476,3.315149501693175,73
1,18,0,13.51901550181866,3.193498751318084,70
1,19,0,15.12647408700319,3.414258039728074,79
1,20,0,11.43201015998635,2.202166177498928,65
