# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,108.995478172547,17.30041268923344,772
0,1,0,127.3119957106788,19.66397709186677,909
0,2,0,157.7138906130222,25.16552942089119,1107
0,3,0,158.7461690965201,24.62850154923179,1130
0,4,0,182.3791772538757,28.02377331130729,1312
0,5,0,194.3087303840521,29.62460866658039,1410
0,6,0,190.787958280063,30.16991565700379,1368
0,7,0,190.1883396379945,28.78530278075878,1381
0,8,0,194.3927762222447,29.78121932817256,1412
0,9,0,194.2060996163067,29.67283019216109,1403
0,10,0,193.67424864975,29.92375978291328,1410
0,11,0,197.6127879387537,31.27075754605429,1415
0,12,0,200.3327857738013,30.6144723830966,1467
0,13,0,187.8019788033971,29.68560657195116,1361
0,14,0,175.2062201838396,26.39325727069542,1286
0,15,0,189.9099996112775,29.09535811416738,1382
0,16,0,177.3088764166467,26.96306816239035,1298
0,17,0,158.01265965548,23.86313854790298,1169
0,18,0,147.7876581670742,22.99135884756972,1075
0,19,0,107.0177373364812,15.94662285544384,803
1,0,0,137.6607514983935,21.71283821477612,980
1,1,0,165.7585283022864,26.56913280611009,1187
1,2,0,180.1196898516499,32.16179284934256,1277
1,3,0,202.962869279582,32.4751416094843,1420
1,4,0,223.1390503645677,34.58745173992609,1587
1,5,0,236.1637209969901,37.40670330351579,1667
1,6,0,240.7710836138604,61.0120416751918,1697
1,7,0,238.2636898207952,71.15237587733198,1648
1,8,0,246.082596585532,88.34143569063173,1705
1,9,0,233.8548098526429,36.41858287450613,1675
1,10,0,234.0042672075526,36.61573880253079,1670
1,11,0,243.734308202794,37.65169394870221,1760
1,12,0,232.9581967909519,36.10867645187162,1669
1,13,0,243.7035048110355,158.6620013577193,1691
1,14,0,231.8382113786517,35.48201982017077,1687
1,15,0,223.8431492534795,34.03152294627407,1629
1,16,0,227.4001512871857,35.61658316233782,1629
1,17,0,208.769780131221,31.95253348673253,1532
1,18,0,189.9602548411114,29.16510000093678,1381
1,19,0,149.1827569457537,23.86599394492883,1077
2,0,0,169.119525281659,27.27937518234423,1181
2,1,0,191.0653004772861,29.8293253837577,1368
2,2,0,218.6003805077592,34.6383032246997,1555
2,3,0,238.2543471077323,36.70811572087096,1704
2,4,0,278.1751039041646,419.277751767647,1838
2,5,0,280.7438983075594,104.1240602774367,1921
2,6,0,282.6323147916041,143.2353687314246,1906
2,7,0,264.9175115979722,41.58069293088307,1882
2,8,0,280.8336005170066,43.03467260800139,2015
2,9,0,274.8172494782466,42.53035661338878,1975
2,10,0,276.5323504519559,43.11761512454468,1990
2,11,0,285.1009665542342,46.13627135745909,2033
2,12,0,280.591637726017,89.43590346696658,1974
2,13,0,283.6470404781354,44.14105371589883,2044
2,14,0,273.1755361403699,42.92087393550853,1964
2,15,0,279.5245244399403,42.71082583390531,2023
2,16,0,252.2729563740835,39.31842250365428,1811
2,17,0,248.6042247617898,161.026880351562,1728
2,18,0,210.3556321554542,36.68709798216312,1489
2,19,0,160.1619143974573,58.93647077932378,1147
3,0,0,167.2892708941813,25.88082423811304,1201
3,1,0,212.1123043131297,33.13239009566233,1505
3,2,0,238.2092979291334,36.99015892496725,1693
3,3,0,265.1594700368835,49.71759433164943,1865
3,4,0,284.7454360758882,44.29078368634278,2033
3,5,0,287.931217028263,45.58052305122845,2058
3,6,0,295.223168169911,45.32021534714116,2130
3,7,0,309.3851529103048,71.6453228015399,2183
3,8,0,298.0933587256721,46.76544841757809,2137
3,9,0,303.3717853904411,47.39140259680265,2206
3,10,0,308.269098858572,96.3164105992679,2139
3,11,0,307.4725421699641,49.66671867525062,2185
3,12,0,309.6869352208684,47.61018529903566,2248
3,13,0,308.9476364796005,46.85372328062518,2248
3,14,0,278.1394686500007,42.68960159401576,2010
3,15,0,295.3031682098785,45.19165348560503,2142
3,16,0,283.3891170993028,44.31360501512526,2048
3,17,0,261.6283946705484,39.60967627534207,1927
3,18,0,216.6960623406773,33.02250657850507,1582
3,19,0,178.7331516022082,27.00002177347732,1314
4,0,0,191.3771000378475,251.9306528840446,1272
4,1,0,213.819223747324,33.2958748063951,1517
4,2,0,260.0002852237533,41.39982761769242,1849
4,3,0,275.5862986372022,42.35069311278968,1974
4,4,0,300.9842111673628,46.07525954953017,2166
4,5,0,301.0426562389492,68.62085143451496,2108
4,6,0,318.6798022226806,50.3083305173805,2261
4,7,0,318.8388443561299,48.86259269015787,2293
4,8,0,339.9365526912066,353.7726433945683,2304
4,9,0,310.9044611216982,48.50009240664625,2227
4,10,0,332.6611801974482,89.90874465376731,2372
4,11,0,350.5230662656187,647.9929048255525,2299
4,12,0,328.8004830440452,50.51750280046885,2388
4,13,0,336.5066255577559,214.242813053559,2347
4,14,0,314.3310489074984,50.98875304770763,2262
4,15,0,305.5266832232649,47.00727883227235,2202
4,16,0,293.618119630823,45.51541504099009,2133
4,17,0,283.681968128414,196.8000234720069,1959
4,18,0,220.1282912221944,33.22376867103385,1601
4,19,0,187.5047038284545,28.87594452305916,1359
5,0,0,183.3261495220564,28.64155136681748,1315
5,1,0,220.9308775957211,34.49272100044553,1570
5,2,0,264.6458557980082,40.85040035042704,1887
5,3,0,286.2379563278369,44.63875568748556,2032
5,4,0,312.0451066103985,48.58726282470664,2229
5,5,0,308.3089155870393,47.04824626119132,2217
5,6,0,325.6938088194186,52.11806449850967,2353
5,7,0,337.4285608571468,52.0338920018678,2428
5,8,0,326.1004265748197,49.75263352574034,2365
5,9,0,337.9265190995415,52.30780063215127,2407
5,10,0,326.7884798239799,50.15876652427853,2367
5,11,0,335.0794196382888,113.5884235070493,2372
5,12,0,314.9172905825554,48.71701143017344,2276
5,13,0,343.5157578858904,232.0329599524924,2340
5,14,0,331.6155159830748,53.05779157419751,2363
5,15,0,303.5656553273002,46.38791210573311,2208
5,16,0,299.6557422265592,46.41812658078359,2162
5,17,0,277.7374298427206,42.82141576773983,2009
5,18,0,249.8424614828641,53.68360338047605,1784
5,19,0,195.4809263404734,29.69489654723165,1438
6,0,0,191.9103132586011,75.94280594328023,1345
6,1,0,236.0297701084459,36.26843676855022,1679
6,2,0,280.9653931380782,64.07562180398321,1947
6,3,0,303.5070048325352,47.48270973327224,2157
6,4,0,313.0178356806314,48.5731828152104,2231
6,5,0,322.2802124876063,105.959026461262,2238
6,6,0,316.4934990597342,48.74091007578889,2271
