# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,497.8955260843981,927.904952249041,3374
0,1,0,600.5078195233978,112.6692783403187,4293
0,2,0,683.2649427688979,136.045112718167,4894
0,3,0,743.3131269298674,114.5849767075191,5380
0,4,0,821.8831034656315,128.527758323493,5937
0,5,0,879.8948027304301,479.7465526231788,6177
0,6,0,880.1011158563296,406.4419221204532,6174
0,7,0,902.6035251887672,373.9421261552467,6387
0,8,0,885.3407526445835,265.3108620350291,6448
0,9,0,885.4911789484252,137.5814446264848,6526
0,10,0,890.0059300643203,212.6533399561119,6582
0,11,0,882.1112428274814,198.6543745150841,6496
0,12,0,851.0718746080361,188.7008681875327,6362
0,13,0,893.8540847901854,189.1002751121981,6650
0,14,0,872.8296047614077,154.5211295846586,6562
0,15,0,868.9549589558475,131.083347498131,6593
0,16,0,876.1508266276531,131.4066598288405,6688
0,17,0,893.7165232734737,138.3213980765425,6830
0,18,0,906.3894920921272,187.9558032625837,6841
0,19,0,895.6485063417695,255.2396132046271,6792
0,20,0,896.1611630499092,131.4036660208288,6903
0,21,0,929.3971624643153,417.6076237012921,7076
0,22,0,914.5955321523836,171.0928961639942,7040
0,23,0,911.1867060424353,139.743955619422,7079
0,24,0,967.6767806169751,915.5018800645393,7253
0,25,0,920.7250280972466,131.3848168271394,7279
0,26,0,957.8350799228368,137.9372964066291,7553
0,27,0,966.1585219528499,275.7760375531593,7566
0,28,0,1012.478719535604,161.2494945435209,7969
0,29,0,862.8052459966702,126.3411286128956,6837
1,0,0,587.1008281693748,104.7861408995115,4179
1,1,0,759.9791290574135,1547.570340824563,5199
1,2,0,880.8645801927277,137.3665018823429,6343
1,3,0,971.9462209983943,150.8171868560853,6974
1,4,0,1004.539151117203,174.2444550825837,7244
1,5,0,1058.294758961865,307.2383598006906,7581
1,6,0,1051.951256934802,213.4810985544256,7596
1,7,0,1094.021090827962,315.1385488531416,7814
1,8,0,1103.738434305728,555.3529611147341,7948
1,9,0,1094.162660904627,165.4415804094438,8091
1,10,0,1109.539456677722,297.5207625372514,8019
1,11,0,1111.636320661563,204.6690349736884,8211
1,12,0,1096.967893895428,176.677304368652,8144
1,13,0,1124.73193645861,469.8233034089116,8305
1,14,0,1147.73640488253,762.1437627923748,8309
1,15,0,1141.826783875283,488.2389755210831,8446
1,16,0,1129.184516583789,182.780607114153,8551
1,17,0,1128.935290769159,173.6043525734568,8591
1,18,0,1134.872612688561,183.5863904379923,8627
1,19,0,1162.674983541649,558.8382236355478,8612
1,20,0,1173.464468373538,868.3932610395436,8839
1,21,0,1194.313064341234,198.5277242044733,9175
1,22,0,1214.111873721162,299.1268128810271,9267
1,23,0,1231.952281748203,341.5308222141391,9393
1,24,0,1245.51109233621,183.2624934591884,9704
1,25,0,1246.929698585513,179.7643850227981,9767
1,26,0,1288.621404156795,219.4049089691622,10083
1,27,0,1313.763901468761,264.5196256026125,10288
1,28,0,1331.023904233703,199.9786275252803,10442
1,29,0,1175.554485659351,678.2886881254739,8968
2,0,0,681.8360533375845,106.3779312541398,4914
2,1,0,844.2289996028059,133.5202516806036,6055
2,2,0,994.6653621057177,154.4981159698219,7152
2,3,0,1070.836991565187,166.1018175162668,7729
2,4,0,1196.720387957273,579.3129456036396,8413
2,5,0,1233.653835683801,1139.839199108789,8708
2,6,0,1251.476744255201,191.5972957633726,9080
2,7,0,1259.643710091512,307.6195725814455,9134
2,8,0,1295.456720519667,240.1498979180769,9484
2,9,0,1255.521792404853,188.0637492554937,9312
2,10,0,1265.973543177094,195.8647554119451,9388
2,11,0,1279.138556648384,252.4624012201997,9447
2,12,0,1277.145460310614,261.8109381115796,9511
2,13,0,1315.446881694319,833.178082030088,9701
2,14,0,1323.40015273367,313.5013631611042,9775
2,15,0,1290.456848978194,191.9945486379505,9736
2,16,0,1322.574468487597,752.5655454153236,9754
2,17,0,1344.087323581061,238.2706038259865,10117
2,18,0,1341.031801965225,478.7686354863425,10010
2,19,0,1316.624328614123,200.6464490891569,10076
2,20,0,1364.267674477952,572.8994568292198,10303
2,21,0,1353.465862861409,243.5507400501684,10392
2,22,0,1365.077728024007,263.9659414848634,10496
2,23,0,1370.709018096034,403.656665060724,10438
2,24,0,1384.801655247353,285.9517491129876,10709
2,25,0,1446.0845009711,707.5018871641765,11042
2,26,0,1400.349523891421,205.6547454127066,10913
2,27,0,1407.148839543022,239.1300797435462,10958
2,28,0,1429.690830876823,887.5855054439427,10991
2,29,0,1160.829942038444,169.3456984008716,9116
3,0,0,726.9079731998362,113.1234952396059,5221
3,1,0,923.6777609846848,190.9838521475267,6580
3,2,0,1064.26891726365,175.0700680770983,7607
3,3,0,1239.729007413553,1215.536021569156,8461
3,4,0,1262.940512636909,213.0213330697112,9162
3,5,0,1320.812159690106,273.4967078244192,9466
3,6,0,1361.91447036319,241.6689149117535,9839
3,7,0,1390.406815095892,391.2737965391634,10077
3,8,0,1376.778653492818,234.9991588580079,10084
3,9,0,1407.93987227731,287.2394322329899,10229
3,10,0,1419.761028903074,615.3531553666357,10339
3,11,0,1423.430326369355,508.0949200803844,10332
3,12,0,1400.123177774348,407.3083733640946,10317
3,13,0,1401.823313063077,479.9210821510526,10284
3,14,0,1383.527848519065,249.9047024555756,10336
3,15,0,1397.73935702505,207.6950524899924,10559
3,16,0,1410.256068226143,319.4173248576424,10635
3,17,0,1457.421131530243,838.9733404442021,10734
3,18,0,1412.514865936233,584.1457430060034,10571
3,19,0,1421.715043438433,219.7100910688791,10933
3,20,0,1420.790437573386,289.6805525386776,10846
3,21,0,1406.797667478758,205.4229070158603,10873
3,22,0,1418.120757218657,212.7076228681819,10929
3,23,0,1465.39068988903,820.1641591235696,11118
3,24,0,1406.815401875882,272.9773166060152,10927
3,25,0,1439.083935302473,221.4710035891786,11219
